Source,Target
unmoved,attach
attach,yourself
yourself,to
to,us
us,with
with,your
your,impossible
impossible,voice
voice,your
your,voice
voice,the
the,one
one,emollient
emollient,for
for,this
this,vile
vile,despair
despair,an
an,overcast
overcast,morning
morning,in
in,july
july,a
a,taste
taste,of
of,ashes
ashes,wafts
wafts,through
through,the
the,air
air,the
the,smell
smell,of
of,smoke
smoke,seeping
seeping,in
in,the
the,hearth
hearth,well-soaked
well-soaked,flowers
flowers,the
the,wrecked
wrecked,walks
walks,the
the,drizzle
drizzle,of
of,canals
canals,across
across,the
the,fields
fields,indeed
indeed,why
why,not
not,toys
toys,and
and,incense
incense,now
now,i
i,have
have,hung
hung,ropes
ropes,from
from,belfry
belfry,to
to,belfry
belfry,garlands
garlands,from
from,window
window,to
to,window
window,golden
golden,chains
chains,from
from,star
star,to
to,star
star,and
and,i
i,dance
dance,the
the,pond
pond,high
high,up
up,does
does,not
not,stop
stop,steamimg
steamimg,what
what,witch
witch,will
will,set
set,herself
herself,up
up,against
against,the
the,white
white,sunset
sunset,what
what,violet
violet,foliage
foliage,will
will,fall
fall,while
while,public
public,funds
funds,are
are,being
being,squandered
squandered,on
on,festivals
festivals,of
of,brotherhood
brotherhood,a
a,bell
bell,of
of,rose-coloured
rose-coloured,fire
fire,tolls
tolls,in
in,the
the,clouds
clouds,sharpening
sharpening,a
a,pleasant
pleasant,flavour
flavour,of
of,india
india,ink
ink,a
a,mist
mist,of
of,black
black,powder
powder,falls
falls,gently
gently,on
on,my
my,vigil
vigil,i
i,lower
lower,the
the,gas-mantle
gas-mantle,i
i,throw
throw,myself
myself,on
on,the
the,bed
bed,and
and,turned
turned,towards
towards,the
the,shadow
shadow,i
i,see
see,you
you,my
my,girls
girls,my
my,queens
queens,o
o,that
that,warm
warm,february
february,morning
morning,the
the,inopportune
inopportune,south
south,wind
wind,came
came,to
to,rekindle
rekindle,the
the,memories
memories,of
of,our
our,absurdly
absurdly,penniless
penniless,condition
condition,our
our,juvenile
juvenile,destitution
destitution,henrika
henrika,was
was,wearing
wearing,a
a,brown-and-white
brown-and-white,check
check,cotton
cotton,shirt
shirt,the
the,sort
sort,of
of,thing
thing,which
which,must
must,have
have,been
been,in
in,fashion
fashion,last
last,century
century,a
a,bonnet
bonnet,with
with,ribbons
ribbons,and
and,a
a,silk
silk,scarf
scarf,it
it,was
was,sadder
sadder,than
than,a
a,funeral
funeral,we
we,were
were,strolling
strolling,round
round,the
the,outskirts
outskirts,of
of,the
the,city
city,the
the,sky
sky,was
was,overcast
overcast,and
and,the
the,south
south,wind
wind,conjured
conjured,all
all,the
the,ugly
ugly,smells
smells,of
of,the
the,ravaged
ravaged,gardens
gardens,and
and,dried-up
dried-up,fields
fields,it
it,can
can,not
not,have
have,wearied
wearied,my
my,wife
wife,as
as,much
much,as
as,it
it,did
did,me
me,in
in,a
a,little
little,pool
pool,left
left,behind
behind,by
by,last
last,month
month,'s
's,floods
floods,on
on,a
a,path
path,quite
quite,high
high,up
up,she
she,pointed
pointed,out
out,to
to,me
me,some
some,tiny
tiny,fish
fish,the
the,city
city,with
with,its
its,smoke
smoke,and
and,the
the,bustle
bustle,of
of,its
its,workplaces
workplaces,followed
followed,us
us,far
far,along
along,our
our,path
path,o
o,the
the,other
other,world
world,the
the,abode
abode,blessed
blessed,by
by,the
the,sky
sky,and
and,the
the,shade
shade,of
of,trees
trees,the
the,south
south,wind
wind,brought
brought,back
back,to
to,me
me,the
the,wretched
wretched,incidents
incidents,of
of,childhood
childhood,my
my,summer
summer,despairs
despairs,the
the,horrifying
horrifying,quantity
quantity,of
of,strength
strength,and
and,knowledge
knowledge,from
from,which
which,fate
fate,has
has,always
always,kept
kept,me
me,at
at,arm
arm,'s
's,length
length,no
no,we
we,shall
shall,not
not,spend
spend,the
the,summer
summer,in
in,this
this,mean
mean,land
land,where
where,we
we,can
can,never
never,be
be,anything
anything,but
but,betrothed
betrothed,orphans
orphans,i
i,want
want,this
this,hardened
hardened,arm
arm,no
no,more
more,to
to,drag
drag,a
a,cherished
cherished,image
image,grey
grey,crystal
crystal,skies
skies,a
a,bizarre
bizarre,pattern
pattern,of
of,bridges
bridges,some
some,straight
straight,some
some,curved
curved,yet
yet,others
others,sloping
sloping,down
down,or
or,angled
angled,in
in,obliquely
obliquely,at
at,the
the,first
first,and
and,these
these,figures
figures,repeated
repeated,in
in,the
the,other
other,lit-up
lit-up,stretches
stretches,of
of,canal
canal,but
but,all
all,so
so,long
long,and
and,light
light,that
that,the
the,banks
banks,heavy
heavy,with
with,domes
domes,sink
sink,and
and,grow
grow,smaller
smaller,some
some,of
of,these
these,bridges
bridges,are
are,still
still,crowded
crowded,with
with,hovels
hovels,others
others,sprout
sprout,masts
masts,signals
signals,frail
frail,parapets
parapets,minor
minor,chords
chords,meet
meet,and
and,melt
melt,strands
strands,of
of,rope
rope,rise
rise,from
from,the
the,banks
banks,a
a,red
red,coat
coat,can
can,be
be,discerned
discerned,other
other,costumes
costumes,too
too,perhaps
perhaps,and
and,musical
musical,instruments
instruments,are
are,these
these,well-known
well-known,airs
airs,snatches
snatches,of
of,lordly
lordly,concerts
concerts,remnants
remnants,of
of,public
public,anthems
anthems,the
the,water
water,is
is,grey
grey,and
and,blue
blue,wide
wide,as
as,an
an,arm
arm,of
of,the
the,sea
sea,a
a,ray
ray,of
of,white
white,light
light,falling
falling,from
from,high
high,up
up,in
in,the
the,sky
sky,clears
clears,away
away,this
this,charade
charade,i
i,am
am,an
an,ephemeral
ephemeral,and
and,none-too-discontented
none-too-discontented,citizen
citizen,of
of,a
a,metropolis
metropolis,thought
thought,to
to,be
be,modern
modern,because
because,all
all,established
established,taste
taste,has
has,been
been,avoided
avoided,in
in,the
the,furnishings
furnishings,and
and,on
on,the
the,outsides
outsides,of
of,houses
houses,as
as,well
well,as
as,in
in,the
the,city
city,plan
plan,here
here,you
you,will
will,find
find,no
no,trace
trace,of
of,any
any,monument
monument,to
to,superstition
superstition,so
so,morals
morals,and
and,language
language,finally
finally,have
have,been
been,reduced
reduced,to
to,their
their,simplest
simplest,expression
expression,these
these,myriad
myriad,people
people,who
who,have
have,no
no,need
need,to
to,know
know,one
one,another
another,carry
carry,on
on,in
in,such
such,similar
similar,ways
ways,their
their,education
education,their
their,work
work,and
and,their
their,old
old,age
age,that
that,their
their,life-span
life-span,must
must,be
be,many
many,times
times,shorter
shorter,than
than,certain
certain,wild
wild,statistics
statistics,show
show,about
about,the
the,people
people,of
of,the
the,continent
continent,and
and,so
so,i
i,see
see,from
from,my
my,window
window,new
new,spectres
spectres,rolling
rolling,through
through,the
the,thick
thick,eternal
eternal,coal-smoke
coal-smoke,our
our,woodland
woodland,shade
shade,our
our,summer
summer,night
night,new
new,erinyes
erinyes,*
*,in
in,front
front,of
of,the
the,cottage
cottage,which
which,is
is,my
my,country
country,and
and,all
all,my
my,heart
heart,as
as,everything
everything,here
here,looks
looks,like
like,this
this,dry-eyed
dry-eyed,death
death,our
our,busy
busy,daughter
daughter,and
and,servant
servant,a
a,desperate
desperate,love
love,and
and,a
a,nice
nice,crime
crime,whimpering
whimpering,in
in,the
the,muck
muck,of
of,the
the,street
street,to
to,the
the,right
right,the
the,summer
summer,dawn
dawn,wakes
wakes,the
the,leaves
leaves,and
and,mists
mists,and
and,sounds
sounds,of
of,this
this,corner
corner,of
of,the
the,park
park,and
and,the
the,slopes
slopes,to
to,the
the,left
left,keep
keep,in
in,their
their,violet
violet,shadow
shadow,the
the,thousand
thousand,rapid
rapid,ruts
ruts,on
on,the
the,moistened
moistened,road
road,parade
parade,of
of,enchantments
enchantments,and
and,yes
yes,carts
carts,laden
laden,with
with,animals
animals,of
of,golden
golden,wood
wood,poles
poles,and
and,multicoloured
multicoloured,canvas
canvas,the
the,galloping
galloping,stride
stride,of
of,twenty
twenty,dappled
dappled,circus
circus,horses
horses,and
and,the
the,children
children,and
and,men
men,on
on,their
their,most
most,extraordinary
extraordinary,mounts
mounts,twenty
twenty,vehicles
vehicles,sculpted
sculpted,hung
hung,with
with,flags
flags,and
and,decorated
decorated,with
with,flowers
flowers,like
like,the
the,coaches
coaches,of
of,old
old,or
or,out
out,of
of,fairy
fairy,tales
tales,full
full,of
of,children
children,got
got,up
up,for
for,suburban
suburban,pastorals
pastorals,even
even,coffins
coffins,under
under,their
their,canopy
canopy,of
of,night
night,flourishing
flourishing,ebony
ebony,plumes
plumes,passing
passing,by
by,to
to,the
the,trot
trot,of
of,the
the,great
great,tall
tall,blue-black
blue-black,mares
mares,the
the,official
official,acropolis
acropolis,surpasses
surpasses,the
the,most
most,colossal
colossal,conceptions
conceptions,of
of,modern
modern,barbarity
barbarity,impossible
impossible,to
to,describe
describe,the
the,flat
flat,light
light,produced
produced,by
by,the
the,grey
grey,unchanging
unchanging,sky
sky,the
the,imperial
imperial,glare
glare,of
of,the
the,buildings
buildings,and
and,the
the,eternal
eternal,snow
snow,on
on,the
the,ground
ground,with
with,singularly
singularly,outrageous
outrageous,taste
taste,all
all,the
the,marvels
marvels,of
of,classical
classical,architecture
architecture,have
have,been
been,reproduced
reproduced,i
i,visit
visit,exhibitions
exhibitions,of
of,painting
painting,in
in,places
places,twenty
twenty,times
times,the
the,size
size,of
of,hampton
hampton,court
court,*
*,what
what,painting
painting,a
a,norwegian
norwegian,nebuchadnezzar
nebuchadnezzar,has
has,had
had,made
made,the
the,staircases
staircases,of
of,the
the,ministries
ministries,the
the,underlings
underlings,i
i,managed
managed,to
to,see
see,are
are,prouder
prouder,than
than,brahmins*
brahmins*,as
as,it
it,is
is,and
and,the
the,look
look,of
of,the
the,men
men,guarding
guarding,the
the,colossi
colossi,and
and,of
of,the
the,building
building,officials
officials,made
made,me
me,tremble
tremble,the
the,grouping
grouping,of
of,buildings
buildings,into
into,squares
squares,enclosed
enclosed,courtyards
courtyards,and
and,terraces
terraces,has
has,displaced
displaced,the
the,cabmen
cabmen,the
the,parks
parks,exemplify
exemplify,primitive
primitive,nature
nature,shaped
shaped,with
with,marvellous
marvellous,art
art,the
the,better
better,district
district,of
of,the
the,town
town,has
has,inexplicable
inexplicable,details
details,an
an,arm
arm,of
of,the
the,sea
sea,empty
empty,of
of,boats
boats,unfolds
unfolds,its
its,gauze
gauze,sheet
sheet,of
of,blue
blue,hail
hail,between
between,quays
quays,stacked
stacked,with
with,giant
giant,candelabra
candelabra,a
a,short
short,bridge
bridge,leads
leads,to
to,a
a,postern
postern,right
right,underneath
underneath,the
the,dome
dome,of
of,the
the,sainte-chapelle
sainte-chapelle,*
*,this
this,dome
dome,is
is,an
an,armature
armature,of
of,artistically
artistically,worked
worked,steel
steel,some
some,fifteen
fifteen,thousand
thousand,feet
feet,in
in,diameter
diameter,at
at,certain
certain,points
points,on
on,the
the,copper
copper,footbridges
footbridges,the
the,platforms
platforms,the
the,stairs
stairs,which
which,run
run,round
round,the
the,covered
covered,markets
markets,and
and,the
the,pillars
pillars,i
i,thought
thought,i
i,could
could,judge
judge,the
the,depth
depth,of
of,the
the,city
city,this
this,is
is,the
the,prodigy
prodigy,i
i,was
was,not
not,able
able,to
to,pin
pin,down
down,how
how,far
far,below
below,or
or,above
above,the
the,acropolis
acropolis,are
are,the
the,other
other,districts
districts,for
for,the
the,stranger
stranger,of
of,our
our,time
time,reconnaissance
reconnaissance,is
is,impossible
impossible,the
the,commercial
commercial,district
district,is
is,a
a,circus
circus,done
done,in
in,a
a,single
single,style
style,with
with,arched
arched,galleries
galleries,no
no,shops
shops,to
to,be
be,seen
seen,but
but,the
the,snow
snow,on
on,the
the,streets
streets,has
has,been
been,trampled
trampled,a
a,handful
handful,of
of,nabobs
nabobs,as
as,rare
rare,as
as,a
a,sunday-morning
sunday-morning,stroller
stroller,in
in,london
london,make
make,their
their,way
way,towards
towards,a
a,carriage
carriage,of
of,diamonds
diamonds,a
a,few
few,divans
divans,of
of,red
red,velvet
velvet,polar
polar,drinks
drinks,are
are,served
served,whose
whose,prices
prices,go
go,from
from,eight
eight,hundred
hundred,to
to,eight
eight,thousand
thousand,rupees
rupees,i
i,consider
consider,searching
searching,out
out,some
some,theatres
theatres,in
in,this
this,circus
circus,but
but,tell
tell,myself
myself,that
that,the
the,shops
shops,themselves
themselves,must
must,house
house,some
some,decidedly
decidedly,murky
murky,dramas
dramas,i
i,think
think,there
there,exists
exists,a
a,police
police,force
force,but
but,the
the,laws
laws,must
must,be
be,so
so,strange
strange,that
that,i
i,give
give,up
up,trying
trying,to
to,imagine
imagine,what
what,the
the,city
city,'s
's,shady
shady,characters
characters,are
are,like
like,away
away,from
from,the
the,centre
centre,it
it,is
is,as
as,elegant
elegant,as
as,a
a,fine
fine,parisian
parisian,street
street,and
and,graced
graced,by
by,an
an,air
air,of
of,light
light,the
the,democratic
democratic,element
element,numbers
numbers,about
about,one
one,hundred
hundred,souls
souls,here
here,again
again,the
the,houses
houses,are
are,not
not,arranged
arranged,in
in,rows
rows,the
the,last
last,part
part,of
of,the
the,city
city,dissolves
dissolves,strangely
strangely,into
into,the
the,countryside
countryside,the
the,‘
‘,county
county,which
which,fills
fills,the
the,unending
unending,west
west,with
with,the
the,forests
forests,and
and,colossal
colossal,plantations
plantations,where
where,savage
savage,gentlefolk
gentlefolk,hunt
hunt,down
down,its
its,newspaper
newspaper,columns
columns,by
by,man-made
man-made,light
light,pitiful
pitiful,brother
brother,what
what,atrocious
atrocious,nights
nights,of
of,wakefulness
wakefulness,i
i,owed
owed,him
him,‘
‘,i
i,was
was,not
not,mad
mad,to
to,embark
embark,on
on,this
this,venture
venture,i
i,scoffed
scoffed,at
at,his
his,infirmity
infirmity,if
if,we
we,went
went,back
back,into
into,exile
exile,into
into,slavery
slavery,it
it,would
would,be
be,my
my,fault
fault,he
he,attributed
attributed,to
to,me
me,the
the,strangest
strangest,ill-luck
ill-luck,and
and,innocence
innocence,and
and,added
added,worrying
worrying,explanations
explanations,i
i,replied
replied,by
by,sneering
sneering,at
at,this
this,satanic
satanic,man
man,of
of,learning
learning,and
and,ended
ended,up
up,moving
moving,to
to,the
the,window
window,i
i,created
created,beyond
beyond,the
the,tract
tract,of
of,land
land,traversed
traversed,by
by,ribbons
ribbons,of
of,distant
distant,music
music,the
the,phantoms
phantoms,of
of,the
the,luxury
luxury,to
to,come
come,by
by,night
night,after
after,this
this,vaguely
vaguely,hygienic
hygienic,diversion
diversion,i
i,stretched
stretched,out
out,on
on,a
a,straw
straw,mattress
mattress,and
and,almost
almost,every
every,night
night,as
as,soon
soon,as
as,sleep
sleep,had
had,come
come,the
the,poor
poor,brother
brother,got
got,up
up,his
his,mouth
mouth,stinking
stinking,his
his,eyes
eyes,mere
mere,sockets
sockets,just
just,as
as,he
he,saw
saw,himself
himself,in
in,his
his,dreams
dreams,and
and,dragged
dragged,me
me,into
into,the
the,room
room,howling
howling,his
his,dream
dream,of
of,idiot
idiot,pain
pain,indeed
indeed,in
in,all
all,sincerity
sincerity,of
of,mind
mind,i
i,had
had,made
made,the
the,commitment
commitment,to
to,restore
restore,him
him,to
to,his
his,original
original,state
state,as
as,a
a,child
child,of
of,the
the,sun
sun,so
so,we
we,wandered
wandered,nourished
nourished,on
on,the
the,wine
wine,of
of,caverns
caverns,and
and,the
the,traveller
traveller,'s
's,crust
crust,with
with,me
me,hurrying
hurrying,to
to,find
find,the
the,place
place,and
and,the
the,key
key,these
these,are
are,cities
cities,this
this,is
is,a
a,people
people,for
for,whom
whom,these
these,dream
dream,alleghenies*
alleghenies*,and
and,these
these,lebanons*
lebanons*,have
have,risen
risen,into
into,being
being,chalets
chalets,of
of,glass
glass,and
and,wood
wood,which
which,move
move,on
on,invisible
invisible,rails
rails,and
and,pulleys
pulleys,the
the,ancient
ancient,craters
craters,ringed
ringed,round
round,by
by,colossi
colossi,and
and,copper
copper,palms
palms,roar
roar,mellifluously
mellifluously,in
in,the
the,flames
flames,festivals
festivals,of
of,love
love,echo
echo,over
over,the
the,canals
canals,suspended
suspended,behind
behind,the
the,chalets
chalets,the
the,chase
chase,of
of,chiming
chiming,bells
bells,reverberates
reverberates,around
around,the
the,gorges
gorges,guilds
guilds,of
of,giant
giant,singers
singers,hurry
hurry,in
in,draped
draped,in
in,robes
robes,and
and,oriflammes
oriflammes,as
as,brilliant
brilliant,as
as,the
the,light
light,from
from,mountain-tops
mountain-tops,on
on,the
the,platforms
platforms,deep
deep,in
in,the
the,gulfs
gulfs,the
the,rolands*
rolands*,trumpet
trumpet,their
their,defiance
defiance,on
on,the
the,footbridges
footbridges,of
of,the
the,abyss
abyss,and
and,the
the,roofs
roofs,of
of,the
the,inns
inns,the
the,heat
heat,of
of,the
the,heavens
heavens,unfurls
unfurls,flags
flags,on
on,the
the,poles
poles,the
the,collapse
collapse,of
of,apotheoses
apotheoses,spreads
spreads,to
to,the
the,highest
highest,fields
fields,where
where,seraphic
seraphic,centauresses
centauresses,move
move,among
among,the
the,avalanches
avalanches,above
above,the
the,level
level,of
of,the
the,tallest
tallest,summits
summits,a
a,sea
sea,agitated
agitated,by
by,the
the,endless
endless,birth
birth,of
of,venus
venus,shouldering
shouldering,choral
choral,fleets
fleets,singing
singing,with
with,precious
precious,pearls
pearls,and
and,conches
conches,sea
sea,sometimes
sometimes,darkening
darkening,with
with,deadly
deadly,shards
shards,of
of,light
light,from
from,the
the,slopes
slopes,comes
comes,the
the,bellow
bellow,of
of,harvested
harvested,flowers
flowers,as
as,big
big,as
as,our
our,weapons
weapons,and
and,goblets
goblets,processions
processions,of
of,mabs*
mabs*,in
in,opaline
opaline,and
and,russet
russet,robes
robes,climb
climb,out
out,of
of,the
the,ravines
ravines,up
up,there
there,feet
feet,in
in,the
the,waterfall
waterfall,and
and,the
the,brambles
brambles,diana*
diana*,suckles
suckles,the
the,deer
deer,the
the,bacchantes*
bacchantes*,of
of,the
the,suburbs
suburbs,sob
sob,and
and,the
the,moon
moon,burns
burns,and
and,howls
howls,venus
venus,enters
enters,the
the,blacksmiths
blacksmiths,and
and,the
the,hermits
hermits,caves
caves,clusters
clusters,of
of,bell-towers
bell-towers,sing
sing,out
out,the
the,ideas
ideas,of
of,the
the,nations
nations,from
from,castles
castles,of
of,bone
bone,unknown
unknown,music
music,comes
comes,every
every,legend
legend,circulates
circulates,and
and,waves
waves,of
of,impulse
impulse,pour
pour,into
into,the
the,settlements
settlements,the
the,paradise
paradise,of
of,storms
storms,is
is,breaking
breaking,up
up,the
the,savages
savages,celebrate
celebrate,the
the,night
night,in
in,endless
endless,dance
dance,and
and,in
in,an
an,hour
hour,i
i,have
have,come
come,down
down,into
into,the
the,life
life,of
of,a
a,baghdad
baghdad,boulevard
boulevard,where
where,gathered
gathered,people
people,have
have,sung
sung,the
the,joy
joy,of
of,the
the,new
new,work
work,in
in,a
a,heavy
heavy,breeze
breeze,moving
moving,about
about,unable
unable,to
to,avoid
avoid,the
the,fabulous
fabulous,phantoms
phantoms,of
of,the
the,mountains
mountains,which
which,must
must,have
have,been
been,their
their,meeting
meeting,place
place,what
what,kind
kind,arms
arms,what
what,auspicious
auspicious,hour
hour,will
will,restore
restore,to
to,me
me,this
this,region
region,from
from,which
which,come
come,my
my,sleeping
sleeping,and
and,my
my,merest
merest,movements
movements,from
from,the
the,indigo
indigo,straits
straits,to
to,ossian's*
ossian's*,seas
seas,on
on,the
the,orange-pink
orange-pink,sand
sand,which
which,the
the,wine-sky
wine-sky,has
has,washed
washed,crystal
crystal,boulevards
boulevards,have
have,just
just,risen
risen,and
and,met
met,settled
settled,straightaway
straightaway,by
by,poor
poor,young
young,families
families,who
who,get
get,their
their,food
food,from
from,the
the,fruiterer
fruiterer,'s
's,no
no,riches
riches,here
here,the
the,city
city,from
from,the
the,bitumen
bitumen,desert
desert,flee
flee,in
in,headlong
headlong,disarray
disarray,with
with,sheets
sheets,of
of,fog
fog,spread
spread,out
out,in
in,ghastly
ghastly,layers
layers,in
in,the
the,curving
curving,receding
receding,falling
falling,sky
sky,formed
formed,by
by,the
the,most
most,sinister
sinister,black
black,smoke
smoke,which
which,the
the,grieving
grieving,ocean
ocean,can
can,produce
produce,the
the,helmets
helmets,the
the,wheels
wheels,the
the,boats
boats,the
the,rumps
rumps,battle
battle,raise
raise,your
your,eyes
eyes,the
the,wooden
wooden,bridge
bridge,arched
arched,the
the,last
last,vegetable
vegetable,gardens
gardens,of
of,samaria
samaria,*
*,those
those,masks
masks,lit
lit,up
up,the
the,lantern
lantern,lashed
lashed,by
by,the
the,cold
cold,night
night,the
the,mindless
mindless,water-nymph
water-nymph,in
in,the
the,noisy
noisy,dress
dress,deep
deep,in
in,the
the,river
river,the
the,luminous
luminous,skulls
skulls,in
in,the
the,rows
rows,of
of,peas
peas,and
and,the
the,other
other,phantasmagoria
phantasmagoria,the
the,countryside
countryside,roads
roads,lined
lined,with
with,railings
railings,and
and,walls
walls,able
able,hardly
hardly,to
to,contain
contain,their
their,clumps
clumps,of
of,trees
trees,and
and,the
the,atrocious
atrocious,flowers
flowers,which
which,might
might,be
be,called
called,hearts
hearts,and
and,sisters
sisters,damascus
damascus,damning
damning,with
with,tiresomeness
tiresomeness,the
the,property
property,of
of,fairy-tale
fairy-tale,aristocracies
aristocracies,from
from,beyond
beyond,the
the,rhine
rhine,japanese
japanese,guaranis
guaranis,*
*,still
still,fit
fit,to
to,receive
receive,the
the,music
music,of
of,the
the,old
old,traditions
traditions,and
and,there
there,are
are,inns
inns,which
which,have
have,already
already,closed
closed,their
their,doors
doors,and
and,which
which,will
will,not
not,reopen
reopen,there
there,are
are,princesses
princesses,and
and,if
if,you
you,are
are,not
not,too
too,overwhelmed
overwhelmed,the
the,study
study,of
of,the
the,stars
stars,the
the,sky
sky,the
the,morning
morning,when
when,with
with,her
her,you
you,fought
fought,together
together,in
in,the
the,sparkle
sparkle,of
of,snow
snow,the
the,green
green,lips
lips,the
the,ice
ice,the
the,black
black,flags
flags,and
and,the
the,blue
blue,rays
rays,and
and,the
the,purple
purple,perfume
perfume,of
of,the
the,polar
polar,sun
sun,your
your,strength
strength,for
for,helen
helen,the
the,ornamental
ornamental,saps
saps,conspired
conspired,in
in,the
the,virgin
virgin,shades
shades,and
and,the
the,impassive
impassive,brightness
brightness,in
in,the
the,silence
silence,of
of,stars
stars,the
the,summer
summer,heat
heat,was
was,entrusted
entrusted,to
to,mute
mute,birds
birds,and
and,the
the,required
required,indolence
indolence,to
to,a
a,funeral
funeral,barge
barge,beyond
beyond,price
price,in
in,among
among,bays
bays,of
of,dead
dead,loves
loves,and
and,faded
faded,perfumes
perfumes,after
after,the
the,time
time,of
of,the
the,woodcutter
woodcutter,women
women,'s
's,tunes
tunes,sung
sung,to
to,the
the,sound
sound,of
of,the
the,torrent
torrent,beneath
beneath,the
the,ruin
ruin,of
of,the
the,wood
wood,of
of,the
the,bells
bells,of
of,the
the,cattle
cattle,in
in,the
the,valley
valley,'s
's,echo
echo,and
and,of
of,the
the,cries
cries,from
from,the
the,steppes
steppes,for
for,helen
helen,'s
's,childhood
childhood,the
the,furs
furs,and
and,shadows
shadows,shivered
shivered,and
and,the
the,breast
breast,of
of,the
the,poor
poor,and
and,the
the,legends
legends,of
of,the
the,sky
sky,and
and,her
her,eyes
eyes,and
and,her
her,dancing
dancing,still
still,superior
superior,to
to,the
the,precious
precious,bursts
bursts,of
of,light
light,to
to,the
the,effects
effects,of
of,the
the,cold
cold,to
to,the
the,pleasure
pleasure,of
of,the
the,unique
unique,scene
scene,and
and,moment
moment,calculations
calculations,set
set,to
to,one
one,side
side,the
the,inevitable
inevitable,descent
descent,from
from,the
the,sky
sky,the
the,visit
visit,paid
paid,by
by,memories
memories,and
and,the
the,seance
seance,of
of,rhythms
rhythms,take
take,over
over,the
the,house
house,the
the,head
head,and
and,the
the,world
world,of
of,the
the,mind
mind,a
a,horse
horse,charges
charges,off
off,on
on,the
the,suburban
suburban,race-course
race-course,away
away,through
through,the
the,fields
fields,and
and,woodlands
woodlands,riddled
riddled,with
with,carbonic
carbonic,plague
plague,a
a,sorry
sorry,woman
woman,out
out,of
of,some
some,drama
drama,somewhere
somewhere,in
in,the
the,world
world,sighs
sighs,for
for,improbable
improbable,surrenders
surrenders,to
to,love
love,the
the,desperadoes
desperadoes,long
long,for
for,storms
storms,drunkenness
drunkenness,and
and,wounds
wounds,little
little,children
children,along
along,river-banks
river-banks,utter
utter,curses
curses,under
under,their
their,breath
breath,back
back,to
to,our
our,studies
studies,to
to,the
the,noise
noise,of
of,the
the,consuming
consuming,work
work,which
which,gathers
gathers,and
and,swells
swells,again
again,among
among,the
the,masses
masses,as
as,a
a,child
child,certain
certain,skies
skies,sharpened
sharpened,the
the,way
way,i
i,saw
saw,every
every,character
character,very
very,subtly
subtly,changed
changed,my
my,features
features,phenomena
phenomena,were
were,moved
moved,now
now,the
the,unending
unending,inflection
inflection,of
of,moments
moments,and
and,the
the,infinity
infinity,of
of,mathematics
mathematics,send
send,me
me,scurrying
scurrying,through
through,this
this,world
world,where
where,i
i,endure
endure,every
every,civil
civil,success
success,respected
respected,by
by,strange
strange,childhood
childhood,and
and,by
by,vast
vast,affection
affection,i
i,dream
dream,of
of,a
a,war
war,of
of,justice
justice,or
or,of
of,might
might,of
of,logic
logic,quite
quite,unforeseen
unforeseen,it
it,is
is,as
as,simple
simple,as
as,a
a,musical
musical,phrase
phrase,golden
golden,dawn
dawn,and
and,trembling
trembling,dusk
dusk,find
find,our
our,brig
brig,lying
lying,off
off,the
the,coast
coast,opposite
opposite,that
that,villa
villa,and
and,its
its,outbuildings
outbuildings,a
a,promontory
promontory,as
as,long
long,as
as,epirus
epirus,and
and,the
the,peloponnese
peloponnese,or
or,the
the,great
great,island
island,of
of,japan
japan,or
or,arabia
arabia,shrines
shrines,lit
lit,up
up,by
by,returning
returning,processions
processions,huge
huge,views
views,of
of,modern
modern,coastal
coastal,defences
defences,dunes
dunes,coloured
coloured,by
by,incandescent
incandescent,flowers
flowers,and
and,bacchanals
bacchanals,great
great,carthaginian
carthaginian,canals
canals,embankments
embankments,of
of,a
a,shifty
shifty,venice
venice,feeble
feeble,eruptions
eruptions,of
of,etnas
etnas,crevasses
crevasses,of
of,flowers
flowers,and
and,glacier
glacier,water
water,wash-houses
wash-houses,ringed
ringed,with
with,german
german,poplars
poplars,slopes
slopes,of
of,strange
strange,parks
parks,where
where,trees
trees,of
of,japan
japan,hang
hang,their
their,heads
heads,the
the,curving
curving,frontage
frontage,of
of,royals
royals,and
and,grands
grands,in
in,scarborough*
scarborough*,and
and,brooklyn
brooklyn,their
their,railways
railways,run
run,beside
beside,and
and,under
under,and
and,over
over,the
the,planes
planes,and
and,surfaces
surfaces,of
of,this
this,hotel
hotel,chosen
chosen,from
from,the
the,history
history,of
of,the
the,most
most,elegant
elegant,most
most,colossal
colossal,buildings
buildings,of
of,italy
italy,america
america,asia
asia,its
its,windows
windows,and
and,terraces
terraces,bathed
bathed,now
now,in
in,precious
precious,lights
lights,drinks
drinks,sweet
sweet,air
air,are
are,open
open,to
to,the
the,spirit
spirit,of
of,the
the,travellers
travellers,and
and,the
the,nobility
nobility,and
and,they
they,permit
permit,in
in,daylight
daylight,hours
hours,every
every,tarantella
tarantella,of
of,the
the,coasts
coasts,and
and,even
even,the
the,ritornelli
ritornelli,of
of,art
art,'s
's,illustrious
illustrious,valleys
valleys,to
to,cover
cover,in
in,splendour
splendour,the
the,façades
façades,of
of,the
the,palace
palace,promontory
promontory,the
the,ancient
ancient,comedy
comedy,follows
follows,its
its,conventions
conventions,and
and,shares
shares,out
out,its
its,idylls
idylls,boulevards
boulevards,of
of,stage-planks
stage-planks,a
a,long
long,wooden
wooden,pier
pier,from
from,one
one,end
end,to
to,the
the,other
other,of
of,a
a,rock-strewn
rock-strewn,field
field,where
where,the
the,crowd
crowd,of
of,barbarians
